[INFO ] [2022-12-30 15:56:42,490] TC_01_Check_Link_Int_Page - Step 01: Click to Giới Thiệu XO88
[INFO ] [2022-12-30 15:56:44,816] TC_01_Check_Link_Int_Page - Step 02: Check Page được chuyển đến Giới Thiệu XO88
[INFO ] [2022-12-30 15:56:44,836]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-12-30 15:56:44,866] TC_01_Check_Link_Int_Page - Step 01: Click to Điều Khoản & Điều Kiện
[INFO ] [2022-12-30 15:56:46,999] TC_01_Check_Link_Int_Page - Step 02: Check Page được chuyển đến điều khoản & điều kiện
[INFO ] [2022-12-30 15:56:47,013]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-30 15:56:47,013] TC_01_Check_Link_Int_Page - Step 01: Click to Chính sách Bảo mật
[INFO ] [2022-12-30 15:56:49,122] TC_01_Check_Link_Int_Page - Step 02: Check Page được chuyển đến điều khoản & điều kiện
[INFO ] [2022-12-30 15:56:49,140]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-30 15:56:49,140] TC_01_Check_Link_Int_Page - Step 01: Click to Hướng Dẫn Nạp Rút
[INFO ] [2022-12-30 15:56:51,252] TC_01_Check_Link_Int_Page - Step 02: Check Page được chuyển đến điều khoản & điều kiện
[INFO ] [2022-12-30 15:56:51,272]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-30 15:56:51,272] TC_01_Check_Link_Int_Page - Step 01: Click to Telegram
[INFO ] [2022-12-30 15:56:51,272] TC_01_Check_Link_Int_Page - Step 02: Check Page được chuyển đến điều khoản & điều kiện
[INFO ] [2022-12-30 15:56:51,283]  -------------------------- PASSED -------------------------- 
